thesis,variant,signal_utc,entry_utc,direction,session,entry_price,tp_price,sl_price,exit_utc,exit_price,exit_reason,net_usd_x1,macro_labels,year
baseline_sma_distance_v1_control,unguarded,2023-04-03T11:00:00+00:00,2023-04-03T12:00:00+00:00,long,london,1972.39,1996.39,1957.39,2023-04-03T23:59:00+00:00,1983.89,time_exit,11.15,,2023
baseline_sma_distance_v1_control,unguarded,2023-04-04T15:00:00+00:00,2023-04-04T16:00:00+00:00,long,london_ny_overlap,2016.51,2040.51,2001.51,2023-04-05T03:59:00+00:00,2023.94,time_exit,7.08,,2023
baseline_sma_distance_v1_control,unguarded,2023-04-12T05:00:00+00:00,2023-04-12T06:00:00+00:00,long,asia,2020.32,2044.32,2005.32,2023-04-12T14:45:00+00:00,2005.32,stop_loss,-15.35,,2023
baseline_sma_distance_v1_control,unguarded,2023-04-13T13:00:00+00:00,2023-04-13T14:00:00+00:00,long,london_ny_overlap,2045.11,2069.11,2030.11,2023-04-14T01:59:00+00:00,2041.79,time_exit,-3.67,,2023
baseline_sma_distance_v1_control,unguarded,2023-04-19T17:00:00+00:00,2023-04-19T18:00:00+00:00,long,new_york,1995.89,2019.89,1980.89,2023-04-20T05:59:00+00:00,1992.63,time_exit,-3.61,,2023
baseline_sma_distance_v1_control,unguarded,2023-04-25T18:00:00+00:00,2023-04-25T19:00:00+00:00,long,new_york,1998.94,2022.94,1983.94,2023-04-26T06:59:00+00:00,1996.06,time_exit,-3.23,,2023
baseline_sma_distance_v1_control,unguarded,2023-05-01T13:00:00+00:00,2023-05-01T14:00:00+00:00,long,london_ny_overlap,2004.26,2028.26,1989.26,2023-05-01T15:03:00+00:00,1989.26,stop_loss,-15.35,,2023
baseline_sma_distance_v1_control,unguarded,2023-05-02T15:00:00+00:00,2023-05-02T16:00:00+00:00,long,london_ny_overlap,2008.48,2032.48,1993.48,2023-05-03T03:59:00+00:00,2017.07,time_exit,8.24,,2023
baseline_sma_distance_v1_control,unguarded,2023-05-03T20:00:00+00:00,2023-05-03T21:00:00+00:00,long,new_york,2035.07,2059.07,2020.07,2023-05-03T23:00:00+00:00,2059.07,take_profit,23.65,,2023
baseline_sma_distance_v1_control,unguarded,2023-05-03T23:00:00+00:00,2023-05-04T00:00:00+00:00,long,asia,2056.44,2080.44,2041.44,2023-05-04T03:36:00+00:00,2041.44,stop_loss,-15.35,,2023
baseline_sma_distance_v1_control,unguarded,2023-05-04T15:00:00+00:00,2023-05-04T16:00:00+00:00,long,london_ny_overlap,2055.25,2079.25,2040.25,2023-05-05T03:59:00+00:00,2046.78,time_exit,-8.82,,2023
