mechanism,side,event_utc,ref_level,context
prev_day_high_sweep_rejection,SHORT,2024-09-17 02:00:00+00:00,2580.46,pdh=2580.46;pdl=2577.63
prev_day_low_sweep_rejection,LONG,2024-09-17 05:00:00+00:00,2577.63,pdh=2580.46;pdl=2577.63
prev_day_low_sweep_rejection,LONG,2024-09-18 04:30:00+00:00,2575.31,pdh=2589.61;pdl=2575.31
prev_day_high_sweep_rejection,SHORT,2024-09-18 19:45:00+00:00,2589.61,pdh=2589.61;pdl=2575.31
prev_day_low_sweep_rejection,LONG,2024-09-19 03:30:00+00:00,2560.76,pdh=2586.98;pdl=2560.76
prev_day_high_sweep_rejection,SHORT,2024-09-19 12:15:00+00:00,2586.98,pdh=2586.98;pdl=2560.76
prev_day_high_sweep_rejection,SHORT,2024-09-23 08:00:00+00:00,2625.7,pdh=2625.70;pdl=2584.91
prev_day_high_sweep_rejection,SHORT,2024-09-26 14:45:00+00:00,2664.34,pdh=2664.34;pdl=2622.57
prev_day_high_sweep_rejection,SHORT,2024-09-27 02:00:00+00:00,2670.62,pdh=2670.62;pdl=2649.79
prev_day_low_sweep_rejection,LONG,2024-09-27 16:00:00+00:00,2649.79,pdh=2670.62;pdl=2649.79
prev_day_low_sweep_rejection,LONG,2024-10-01 14:45:00+00:00,2657.12,pdh=2663.37;pdl=2657.12
prev_day_high_sweep_rejection,SHORT,2024-10-01 15:15:00+00:00,2663.37,pdh=2663.37;pdl=2657.12
prev_day_high_sweep_rejection,SHORT,2024-10-04 03:45:00+00:00,2663.15,pdh=2663.15;pdl=2640.91
prev_day_low_sweep_rejection,LONG,2024-10-04 13:30:00+00:00,2640.91,pdh=2663.15;pdl=2640.91
prev_day_low_sweep_rejection,LONG,2024-10-08 12:45:00+00:00,2649.68,pdh=2652.36;pdl=2649.68
prev_day_high_sweep_rejection,SHORT,2024-10-08 13:30:00+00:00,2652.36,pdh=2652.36;pdl=2649.68
prev_day_high_sweep_rejection,SHORT,2024-10-14 08:30:00+00:00,2661.39,pdh=2661.39;pdl=2628.99
prev_day_low_sweep_rejection,LONG,2024-10-15 05:00:00+00:00,2644.75,pdh=2656.18;pdl=2644.75
prev_day_high_sweep_rejection,SHORT,2024-10-15 11:30:00+00:00,2656.18,pdh=2656.18;pdl=2644.75
prev_day_high_sweep_rejection,SHORT,2024-10-16 03:30:00+00:00,2666.79,pdh=2666.79;pdl=2643.13
