candidate_identity,best_priority_score_review_only,source_row_count,source_csv_count,families,stages,density_buckets,commercial_blockers,latest_signal_ts,max_recent_signal_rows,max_event_count,commercial_readiness
hr_london_breakout_h13_lq40_b00_tp06_sl08 | high_range_london_breakout_follow_v1,2.24,2,2,high_range_london_breakout_follow_v1,stage29a,MODERATE_HISTORICAL_DENSITY,REJECTED_OR_ERROR_SOURCE,,,56.0,BLOCKED_LOW_FORWARD_CADENCE
dxy_chg_1_le_q30,2.221835,33,1,stage31b,stage31b,UNKNOWN_DENSITY,REJECTED_OR_ERROR_SOURCE,,,,BLOCKED_LOW_FORWARD_CADENCE
dxy_ret_1_le_q30,2.221835,33,1,stage31b,stage31b,UNKNOWN_DENSITY,REJECTED_OR_ERROR_SOURCE,,,,BLOCKED_LOW_FORWARD_CADENCE
spx_rank250_le_q30,2.176877,32,1,stage31b,stage31b,UNKNOWN_DENSITY,REJECTED_OR_ERROR_SOURCE,,,,BLOCKED_LOW_FORWARD_CADENCE
vix_chg_5_le_q20,2.122328,33,1,stage31b,stage31b,UNKNOWN_DENSITY,REJECTED_OR_ERROR_SOURCE,,,,BLOCKED_LOW_FORWARD_CADENCE
vix_ret_5_le_q20,2.122328,33,1,stage31b,stage31b,UNKNOWN_DENSITY,REJECTED_OR_ERROR_SOURCE,,,,BLOCKED_LOW_FORWARD_CADENCE
vix_ret_5_le_q30,2.122328,33,1,stage31b,stage31b,UNKNOWN_DENSITY,REJECTED_OR_ERROR_SOURCE,,,,BLOCKED_LOW_FORWARD_CADENCE
us10y_ret_1_le_q20,2.11799,33,1,exogenous_macro,stage31b,UNKNOWN_DENSITY,REJECTED_OR_ERROR_SOURCE,,,,BLOCKED_LOW_FORWARD_CADENCE
hr_london_breakout_h13_lq40_b01_tp06_sl08 | high_range_london_breakout_follow_v1,1.96,2,2,high_range_london_breakout_follow_v1,stage29a,MODERATE_HISTORICAL_DENSITY,REJECTED_OR_ERROR_SOURCE,,,49.0,BLOCKED_LOW_FORWARD_CADENCE
oil_ret_1_ge_q80,1.922698,33,1,stage31b,stage31b,UNKNOWN_DENSITY,REJECTED_OR_ERROR_SOURCE,,,,BLOCKED_LOW_FORWARD_CADENCE
liq_asia_high_reclaim_fade_h12_tp06_sl065 | liquidity_sweep_regime_v1,1.92,2,2,liquidity_sweep_regime_v1,stage28a,MODERATE_HISTORICAL_DENSITY,REJECTED_OR_ERROR_SOURCE,,,48.0,BLOCKED_LOW_FORWARD_CADENCE
vix_ret_1_le_q20,1.911308,33,1,stage31b,stage31b,UNKNOWN_DENSITY,REJECTED_OR_ERROR_SOURCE,,,,BLOCKED_LOW_FORWARD_CADENCE
us10y_ret_5_ge_q70,1.661744,33,1,exogenous_macro,stage31b,UNKNOWN_DENSITY,REJECTED_OR_ERROR_SOURCE,,,,BLOCKED_LOW_FORWARD_CADENCE
us10y_value_ge_q80,1.608778,33,1,exogenous_macro,stage31b,UNKNOWN_DENSITY,REJECTED_OR_ERROR_SOURCE,,,,BLOCKED_LOW_FORWARD_CADENCE
spx_rank250_ge_q80,1.578723,32,1,stage31b,stage31b,UNKNOWN_DENSITY,REJECTED_OR_ERROR_SOURCE,,,,BLOCKED_LOW_FORWARD_CADENCE
real_yield_rank250_ge_q80,1.513976,32,1,exogenous_macro,stage31b,UNKNOWN_DENSITY,REJECTED_OR_ERROR_SOURCE,,,,BLOCKED_LOW_FORWARD_CADENCE
liq_pdh_reclaim_fade_h12_tp06_sl065 | liquidity_sweep_regime_v1,1.4,1,1,liquidity_sweep_regime_v1,stage28a,MODERATE_HISTORICAL_DENSITY,REJECTED_OR_ERROR_SOURCE,,,35.0,BLOCKED_LOW_FORWARD_CADENCE
dxy_z60_ge_q70,1.392864,33,1,stage31b,stage31b,UNKNOWN_DENSITY,REJECTED_OR_ERROR_SOURCE,,,,BLOCKED_LOW_FORWARD_CADENCE
dxy_z60_ge_q80,1.392864,33,1,stage31b,stage31b,UNKNOWN_DENSITY,REJECTED_OR_ERROR_SOURCE,,,,BLOCKED_LOW_FORWARD_CADENCE
spx_rank250_le_q20,1.392864,32,1,stage31b,stage31b,UNKNOWN_DENSITY,REJECTED_OR_ERROR_SOURCE,,,,BLOCKED_LOW_FORWARD_CADENCE
us10y_ret_5_ge_q80,1.366312,30,1,exogenous_macro,stage31b,UNKNOWN_DENSITY,REJECTED_OR_ERROR_SOURCE,,,,BLOCKED_LOW_FORWARD_CADENCE
dxy_chg_1_le_q20,1.263337,33,1,stage31b,stage31b,UNKNOWN_DENSITY,REJECTED_OR_ERROR_SOURCE,,,,BLOCKED_LOW_FORWARD_CADENCE
dxy_ret_1_le_q20,1.263337,33,1,stage31b,stage31b,UNKNOWN_DENSITY,REJECTED_OR_ERROR_SOURCE,,,,BLOCKED_LOW_FORWARD_CADENCE
real_yield_value_ge_q80,1.233146,33,1,exogenous_macro,stage31b,UNKNOWN_DENSITY,REJECTED_OR_ERROR_SOURCE,,,,BLOCKED_LOW_FORWARD_CADENCE
dxy_ret_5_ge_q80,1.162467,33,1,stage31b,stage31b,UNKNOWN_DENSITY,REJECTED_OR_ERROR_SOURCE,,,,BLOCKED_LOW_FORWARD_CADENCE
spx_chg_1_ge_q70,1.162,33,1,stage31b,stage31b,UNKNOWN_DENSITY,REJECTED_OR_ERROR_SOURCE,,,,BLOCKED_LOW_FORWARD_CADENCE
us10y_chg_5_ge_q80,1.107598,32,1,exogenous_macro,stage31b,UNKNOWN_DENSITY,REJECTED_OR_ERROR_SOURCE,,,,BLOCKED_LOW_FORWARD_CADENCE
real_yield_ret_1_ge_q70,1.099658,33,1,exogenous_macro,stage31b,UNKNOWN_DENSITY,REJECTED_OR_ERROR_SOURCE,,,,BLOCKED_LOW_FORWARD_CADENCE
spx_chg_1_ge_q80,1.05587,33,1,stage31b,stage31b,UNKNOWN_DENSITY,REJECTED_OR_ERROR_SOURCE,,,,BLOCKED_LOW_FORWARD_CADENCE
us10y_ret_1_ge_q80,1.007796,33,1,exogenous_macro,stage31b,UNKNOWN_DENSITY,REJECTED_OR_ERROR_SOURCE,,,,BLOCKED_LOW_FORWARD_CADENCE
real_yield_ret_5_ge_q70,0.963524,34,2,exogenous_macro,stage31b,UNKNOWN_DENSITY,FORWARD_DENSITY_UNKNOWN;REJECTED_OR_ERROR_SOURCE,,,,BLOCKED_LOW_FORWARD_CADENCE
liq_pdl_reclaim_fade_h12_tp06_sl065 | liquidity_sweep_regime_v1,0.96,1,1,liquidity_sweep_regime_v1,stage28a,LOW_HISTORICAL_DENSITY,REJECTED_OR_ERROR_SOURCE,,,24.0,BLOCKED_LOW_FORWARD_CADENCE
dxy_value_le_q20,0.911085,33,1,stage31b,stage31b,UNKNOWN_DENSITY,REJECTED_OR_ERROR_SOURCE,,,,BLOCKED_LOW_FORWARD_CADENCE
vix_chg_1_ge_q80,0.897377,33,1,stage31b,stage31b,UNKNOWN_DENSITY,REJECTED_OR_ERROR_SOURCE,,,,BLOCKED_LOW_FORWARD_CADENCE
vix_value_ge_q80,0.886984,31,1,stage31b,stage31b,UNKNOWN_DENSITY,REJECTED_OR_ERROR_SOURCE,,,,BLOCKED_LOW_FORWARD_CADENCE
vix_ret_1_le_q30,0.883797,33,1,stage31b,stage31b,UNKNOWN_DENSITY,REJECTED_OR_ERROR_SOURCE,,,,BLOCKED_LOW_FORWARD_CADENCE
real_yield_ret_1_ge_q80,0.833436,30,1,exogenous_macro,stage31b,UNKNOWN_DENSITY,REJECTED_OR_ERROR_SOURCE,,,,BLOCKED_LOW_FORWARD_CADENCE
oil_chg_1_le_q30,0.80292,33,1,stage31b,stage31b,UNKNOWN_DENSITY,REJECTED_OR_ERROR_SOURCE,,,,BLOCKED_LOW_FORWARD_CADENCE
oil_ret_1_le_q30,0.80292,33,1,stage31b,stage31b,UNKNOWN_DENSITY,REJECTED_OR_ERROR_SOURCE,,,,BLOCKED_LOW_FORWARD_CADENCE
spx_ret_1_le_q20,0.775932,33,1,stage31b,stage31b,UNKNOWN_DENSITY,REJECTED_OR_ERROR_SOURCE,,,,BLOCKED_LOW_FORWARD_CADENCE
dxy_value_le_q30,0.714703,33,1,stage31b,stage31b,UNKNOWN_DENSITY,REJECTED_OR_ERROR_SOURCE,,,,BLOCKED_LOW_FORWARD_CADENCE
