group_name,group_value,direction,horizon_hours,diagnosis,edge_score,samples,avg_close_move,median_close_move,median_mfe,median_mae,hit_plus_10_rate,hit_plus_15_rate,hit_plus_24_rate,hit_minus_10_rate,hit_minus_15_rate,tp15_first_rate,sl15_first_rate,tp24_first_rate,sl24_first_rate
year,2023,long,3,NO_CLEAR_FORWARD_EDGE,0.102258,1926,0.065914,0.025,2.56,-2.465,0.069574,0.031153,0.007269,0.07217,0.025961,0.031153,0.025961,0.007269,0.025961
h1_trend,neutral,long,3,NO_CLEAR_FORWARD_EDGE,0.071529,2681,0.178948,0.26,4.15,-4.21,0.219694,0.122715,0.057068,0.229019,0.137262,0.109288,0.124953,0.046997,0.134651
h4_trend,neutral,short,12,NO_CLEAR_FORWARD_EDGE,0.056256,2672,0.001243,-0.38,8.605,-8.615,0.444985,0.303892,0.18226,0.446856,0.296033,0.254865,0.247006,0.142216,0.271707
vol_bucket,high,long,6,NO_CLEAR_FORWARD_EDGE,0.033068,1629,-0.146796,0.54,7.31,-6.9,0.391651,0.267035,0.131983,0.372621,0.246163,0.233272,0.205648,0.104359,0.227747
impulse_bucket,expanded,short,6,NO_CLEAR_FORWARD_EDGE,0.026254,1521,0.066358,-0.26,7.28,-7.06,0.373439,0.242604,0.124918,0.373439,0.244576,0.210388,0.21762,0.103222,0.233399
year,2022,short,6,NO_CLEAR_FORWARD_EDGE,0.024439,1216,0.056513,0.465,4.205,-3.875,0.153783,0.058388,0.009868,0.159539,0.064145,0.057566,0.061678,0.009868,0.064145
year,2022,short,12,NO_CLEAR_FORWARD_EDGE,0.019555,1216,0.056563,0.51,5.99,-5.795,0.287007,0.140625,0.039474,0.297697,0.148849,0.138158,0.14227,0.039474,0.148849
year,2022,short,3,NO_CLEAR_FORWARD_EDGE,0.015434,1215,0.055761,0.18,2.87,-2.58,0.065844,0.021399,0.003292,0.074897,0.02716,0.021399,0.02716,0.003292,0.02716
year,2022,long,3,NO_CLEAR_FORWARD_EDGE,-0.015434,1215,-0.055761,-0.18,2.58,-2.87,0.074897,0.02716,0.006584,0.065844,0.021399,0.02716,0.021399,0.006584,0.021399
year,2022,long,12,NO_CLEAR_FORWARD_EDGE,-0.019555,1216,-0.056563,-0.51,5.795,-5.99,0.297697,0.148849,0.044408,0.287007,0.140625,0.14227,0.138158,0.041941,0.140625
year,2022,long,6,NO_CLEAR_FORWARD_EDGE,-0.024439,1216,-0.056513,-0.465,3.875,-4.205,0.159539,0.064145,0.016447,0.153783,0.058388,0.061678,0.057566,0.015625,0.058388
impulse_bucket,expanded,long,6,NO_CLEAR_FORWARD_EDGE,-0.026254,1521,-0.066358,0.26,7.06,-7.28,0.373439,0.244576,0.109139,0.373439,0.242604,0.21762,0.210388,0.088757,0.230112
vol_bucket,high,short,6,NO_CLEAR_FORWARD_EDGE,-0.033068,1629,0.146796,-0.54,6.9,-7.31,0.372621,0.246163,0.147944,0.391651,0.267035,0.205648,0.233272,0.112339,0.25046
h4_trend,neutral,long,12,NO_CLEAR_FORWARD_EDGE,-0.056256,2672,-0.001243,0.38,8.615,-8.605,0.446856,0.296033,0.159057,0.444985,0.303892,0.247006,0.254865,0.119012,0.284431
h1_trend,neutral,short,3,NO_CLEAR_FORWARD_EDGE,-0.071529,2681,-0.178948,-0.26,4.21,-4.15,0.229019,0.137262,0.06602,0.219694,0.122715,0.124953,0.109288,0.056322,0.116747
year,2023,short,3,NO_CLEAR_FORWARD_EDGE,-0.102258,1926,-0.065914,-0.025,2.465,-2.56,0.07217,0.025961,0.005711,0.069574,0.031153,0.025961,0.031153,0.005711,0.031153
compression_bucket,high,long,6,NO_CLEAR_FORWARD_EDGE,-0.104164,1654,-0.222666,0.79,6.5,-5.535,0.349456,0.228537,0.130593,0.321644,0.214631,0.192261,0.174123,0.102177,0.194075
vol_bucket,high,long,3,NO_CLEAR_FORWARD_EDGE,-0.110268,1629,-0.11027,0.35,5.43,-5.31,0.300798,0.186004,0.084715,0.296501,0.189073,0.165132,0.163904,0.06814,0.181093
h4_trend,down,short,12,NO_CLEAR_FORWARD_EDGE,-0.144763,2032,-0.180689,0.265,8.18,-8.16,0.422736,0.290354,0.170276,0.42372,0.290846,0.246063,0.238681,0.129429,0.264272
session,asia,short,3,NO_CLEAR_FORWARD_EDGE,-0.155022,2436,-0.202229,-0.335,3.62,-3.77,0.189655,0.114122,0.057882,0.189245,0.110016,0.104269,0.09647,0.050903,0.105501
impulse_bucket,expanded,long,3,NO_CLEAR_FORWARD_EDGE,-0.171686,1521,-0.109882,0.19,4.88,-4.96,0.264957,0.142669,0.057857,0.258383,0.153846,0.128205,0.136095,0.048652,0.149901
vol_bucket,low,short,3,NO_CLEAR_FORWARD_EDGE,-0.172863,1625,-0.280554,-0.36,2.86,-3.29,0.161846,0.100308,0.044308,0.160615,0.088,0.094769,0.078154,0.041846,0.085538
compression_bucket,low,short,3,NO_CLEAR_FORWARD_EDGE,-0.179561,1660,-0.283777,-0.23,4.56,-4.35,0.243976,0.148193,0.059639,0.239759,0.133735,0.137349,0.122289,0.056024,0.131928
year,2024,short,3,NO_CLEAR_FORWARD_EDGE,-0.179886,1958,-0.286118,-0.62,3.21,-3.78,0.139428,0.067416,0.021961,0.139939,0.052605,0.066905,0.051583,0.021961,0.052605
compression_bucket,mid_low,short,3,NO_CLEAR_FORWARD_EDGE,-0.183393,2301,-0.251625,-0.17,3.79,-3.84,0.205997,0.121686,0.056932,0.202086,0.11256,0.113864,0.103868,0.051282,0.109083
macro_bucket,normal,short,3,NO_CLEAR_FORWARD_EDGE,-0.200452,7884,-0.229881,-0.31,3.86,-4.07,0.216007,0.13001,0.063927,0.219559,0.126078,0.117073,0.11276,0.054795,0.120497
h1_trend,down,long,3,NO_CLEAR_FORWARD_EDGE,-0.201918,2200,-0.177827,0.325,3.9,-3.465,0.210909,0.126364,0.059545,0.214545,0.132727,0.111818,0.114091,0.048182,0.125
vol_bucket,high,short,12,NO_CLEAR_FORWARD_EDGE,-0.203758,1629,0.062664,-1.44,8.45,-9.56,0.439533,0.31062,0.194598,0.483732,0.345611,0.255371,0.294659,0.143646,0.3186
session,london_ny_overlap,short,3,NO_CLEAR_FORWARD_EDGE,-0.209441,1397,-0.118533,-0.32,6.41,-6.49,0.338583,0.213314,0.110952,0.355762,0.221188,0.18325,0.198282,0.090909,0.211167
compression_bucket,high,long,3,NO_CLEAR_FORWARD_EDGE,-0.241664,1654,-0.266451,0.46,4.215,-3.87,0.241838,0.151753,0.075574,0.230351,0.146917,0.128174,0.125151,0.060459,0.137243
session,london,long,3,NO_CLEAR_FORWARD_EDGE,-0.245984,2094,-0.135191,0.32,4.68,-4.705,0.241165,0.127507,0.056351,0.248329,0.142311,0.114613,0.13085,0.049188,0.136581
year,2026,long,6,NO_CLEAR_FORWARD_EDGE,-0.253401,847,0.087804,1.46,19.98,-22.78,0.714286,0.599764,0.427391,0.775679,0.637544,0.439197,0.492326,0.288076,0.572609
year,2023,short,6,NO_CLEAR_FORWARD_EDGE,-0.264068,1928,-0.191452,0.085,3.685,-3.845,0.147822,0.061722,0.016079,0.142635,0.072095,0.061203,0.071577,0.016079,0.072095
h1_trend,down,long,6,NO_CLEAR_FORWARD_EDGE,-0.2641,2205,-0.24868,0.63,5.82,-5.21,0.310658,0.196825,0.102041,0.302494,0.2,0.166893,0.168707,0.077551,0.186848
impulse_bucket,normal,short,3,NO_CLEAR_FORWARD_EDGE,-0.265589,5603,-0.283082,-0.33,3.44,-3.69,0.194717,0.117437,0.057648,0.200071,0.116723,0.106907,0.103694,0.049973,0.111547
vol_bucket,mid_low,short,3,NO_CLEAR_FORWARD_EDGE,-0.268414,2296,-0.30848,-0.22,3.72,-3.64,0.186847,0.108449,0.047909,0.189895,0.105836,0.101916,0.094948,0.044861,0.103223
session,london,long,6,NO_CLEAR_FORWARD_EDGE,-0.274319,2094,-0.366012,0.21,8.155,-8.24,0.429799,0.281757,0.140401,0.414995,0.266953,0.248329,0.235912,0.116523,0.253104
session,asia,short,12,NO_CLEAR_FORWARD_EDGE,-0.286217,2436,-0.150747,-1.38,9.145,-10.51,0.469212,0.326355,0.192529,0.522578,0.350985,0.280788,0.29803,0.154762,0.326355
year,2026,long,12,NO_CLEAR_FORWARD_EDGE,-0.311984,847,0.057556,1.35,29.81,-32.15,0.794569,0.701299,0.561983,0.839433,0.729634,0.455726,0.5183,0.327037,0.626919
h1_trend,down,short,12,NO_CLEAR_FORWARD_EDGE,-0.320109,2205,-0.227138,-0.9,7.81,-8.88,0.411338,0.292517,0.176871,0.455329,0.30839,0.241723,0.253968,0.131519,0.280272
vol_bucket,mid_high,short,3,NO_CLEAR_FORWARD_EDGE,-0.329375,2347,-0.323413,-0.3,4.05,-4.36,0.228803,0.132936,0.066894,0.234768,0.131657,0.117171,0.118875,0.055816,0.125266
impulse_bucket,shock_impulse,short,3,NO_CLEAR_FORWARD_EDGE,-0.341019,773,-0.419935,-0.25,5.12,-5.23,0.294955,0.181113,0.094437,0.276843,0.164295,0.160414,0.151358,0.081501,0.156533
h4_trend,down,long,6,NO_CLEAR_FORWARD_EDGE,-0.346864,2032,-0.288794,-0.365,5.23,-5.83,0.291831,0.186516,0.097933,0.30561,0.193406,0.156496,0.165354,0.070866,0.182087
session,asia,short,6,NO_CLEAR_FORWARD_EDGE,-0.350313,2436,-0.35688,-0.45,5.265,-5.745,0.287767,0.180213,0.098933,0.295977,0.178982,0.157635,0.156814,0.082102,0.169951
h4_trend,neutral,long,6,NO_CLEAR_FORWARD_EDGE,-0.389528,2672,-0.251426,0.27,5.775,-5.83,0.304266,0.197979,0.098428,0.336078,0.21744,0.170284,0.19012,0.079341,0.206961
session,new_york,short,3,NO_CLEAR_FORWARD_EDGE,-0.456225,1692,-0.508824,-0.17,2.66,-2.815,0.135343,0.083924,0.045508,0.140071,0.076832,0.078014,0.070331,0.040189,0.072695
