probe_utc,session,year,h1_trend,h4_trend,vol_bucket,compression_bucket,impulse_bucket,macro_bucket,direction,horizon_hours,entry_price,mfe_usd,mae_usd,close_move_usd,hit_plus_10,hit_plus_15,hit_plus_24,hit_minus_10,hit_minus_15,first_hit_15_15,first_hit_24_15
2024-09-20T18:00:00+00:00,new_york,2024,up,up,mid_high,mid_high,normal,normal,long,12,2619.58,3.68,-1.71,2.35,False,False,False,False,False,none,none
2024-09-20T18:00:00+00:00,new_york,2024,up,up,mid_high,mid_high,normal,normal,short,12,2619.58,1.71,-3.68,-2.35,False,False,False,False,False,none,none
2024-09-23T01:00:00+00:00,asia,2024,up,up,low,mid_high,normal,normal,long,3,2618.29,12.79,-2.2,10.26,True,False,False,False,False,none,none
2024-09-23T01:00:00+00:00,asia,2024,up,up,low,mid_high,normal,normal,short,3,2618.29,2.2,-12.79,-10.26,False,False,False,True,False,none,none
2024-09-23T01:00:00+00:00,asia,2024,up,up,low,mid_high,normal,normal,long,6,2618.29,13.03,-2.2,6.17,True,False,False,False,False,none,none
2024-09-23T01:00:00+00:00,asia,2024,up,up,low,mid_high,normal,normal,short,6,2618.29,2.2,-13.03,-6.17,False,False,False,True,False,none,none
2024-09-23T01:00:00+00:00,asia,2024,up,up,low,mid_high,normal,normal,long,12,2618.29,13.03,-4.48,8.67,True,False,False,False,False,none,none
2024-09-23T01:00:00+00:00,asia,2024,up,up,low,mid_high,normal,normal,short,12,2618.29,4.48,-13.03,-8.67,False,False,False,True,False,none,none
2024-09-23T04:00:00+00:00,asia,2024,up,up,mid_high,mid_high,normal,normal,long,3,2628.54,2.78,-4.08,-4.08,False,False,False,False,False,none,none
2024-09-23T04:00:00+00:00,asia,2024,up,up,mid_high,mid_high,normal,normal,short,3,2628.54,4.08,-2.78,4.08,False,False,False,False,False,none,none
2024-09-23T04:00:00+00:00,asia,2024,up,up,mid_high,mid_high,normal,normal,long,6,2628.54,2.78,-14.73,-6.94,False,False,False,True,False,none,none
2024-09-23T04:00:00+00:00,asia,2024,up,up,mid_high,mid_high,normal,normal,short,6,2628.54,14.73,-2.78,6.94,True,False,False,False,False,none,none
2024-09-23T04:00:00+00:00,asia,2024,up,up,mid_high,mid_high,normal,normal,long,12,2628.54,6.28,-14.73,0.73,False,False,False,True,False,none,none
2024-09-23T04:00:00+00:00,asia,2024,up,up,mid_high,mid_high,normal,normal,short,12,2628.54,14.73,-6.28,-0.73,True,False,False,False,False,none,none
2024-09-23T07:00:00+00:00,london,2024,up,up,mid_high,mid_high,expanded,normal,long,3,2624.4,0.58,-10.59,-2.8,False,False,False,True,False,none,none
2024-09-23T07:00:00+00:00,london,2024,up,up,mid_high,mid_high,expanded,normal,short,3,2624.4,10.59,-0.58,2.8,True,False,False,False,False,none,none
2024-09-23T07:00:00+00:00,london,2024,up,up,mid_high,mid_high,expanded,normal,long,6,2624.4,3.81,-10.59,2.56,False,False,False,True,False,none,none
2024-09-23T07:00:00+00:00,london,2024,up,up,mid_high,mid_high,expanded,normal,short,6,2624.4,10.59,-3.81,-2.56,True,False,False,False,False,none,none
2024-09-23T07:00:00+00:00,london,2024,up,up,mid_high,mid_high,expanded,normal,long,12,2624.4,10.42,-10.59,2.97,True,False,False,True,False,none,none
2024-09-23T07:00:00+00:00,london,2024,up,up,mid_high,mid_high,expanded,normal,short,12,2624.4,10.59,-10.42,-2.97,True,False,False,True,False,none,none
2024-09-23T10:00:00+00:00,london,2024,up,up,mid_high,mid_low,expanded,normal,long,3,2621.59,6.62,-1.56,5.37,False,False,False,False,False,none,none
2024-09-23T10:00:00+00:00,london,2024,up,up,mid_high,mid_low,expanded,normal,short,3,2621.59,1.56,-6.62,-5.37,False,False,False,False,False,none,none
2024-09-23T10:00:00+00:00,london,2024,up,up,mid_high,mid_low,expanded,normal,long,6,2621.59,13.23,-1.56,7.68,True,False,False,False,False,none,none
2024-09-23T10:00:00+00:00,london,2024,up,up,mid_high,mid_low,expanded,normal,short,6,2621.59,1.56,-13.23,-7.68,False,False,False,True,False,none,none
2024-09-23T10:00:00+00:00,london,2024,up,up,mid_high,mid_low,expanded,normal,long,12,2621.59,13.23,-1.56,6.67,True,False,False,False,False,none,none
