events,total,avg,median,wr,pf,dd,pos_years,years,months,year,variant,behavior,horizon_bars,cooldown_bars
22,-23.03,-1.046818,0.185,0.545455,0.47191,-28.97,0,1,7,2022,pdh_sweep_reject_short_controlled_h4_cool4,pdh_sweep_reject_short_controlled,4,4
25,7.7,0.308,-0.29,0.48,1.149718,-17.93,1,1,11,2023,pdh_sweep_reject_short_controlled_h4_cool4,pdh_sweep_reject_short_controlled,4,4
42,49.9,1.188095,0.11,0.52381,1.626648,-24.27,1,1,11,2024,pdh_sweep_reject_short_controlled_h4_cool4,pdh_sweep_reject_short_controlled,4,4
42,-163.57,-3.894524,-2.955,0.261905,0.220092,-175.74,0,1,11,2025,pdh_sweep_reject_short_controlled_h4_cool4,pdh_sweep_reject_short_controlled,4,4
22,28.12,1.278182,0.81,0.590909,1.288677,-63.56,1,1,6,2026,pdh_sweep_reject_short_controlled_h4_cool4,pdh_sweep_reject_short_controlled,4,4
22,2.66,0.120909,0.895,0.545455,1.059441,-20.17,1,1,7,2022,pdh_sweep_reject_short_controlled_h8_cool0,pdh_sweep_reject_short_controlled,8,0
25,11.54,0.4616,-0.77,0.48,1.185471,-22.2,1,1,11,2023,pdh_sweep_reject_short_controlled_h8_cool0,pdh_sweep_reject_short_controlled,8,0
42,49.81,1.185952,0.035,0.5,1.469374,-23.21,1,1,11,2024,pdh_sweep_reject_short_controlled_h8_cool0,pdh_sweep_reject_short_controlled,8,0
42,-209.09,-4.978333,-2.495,0.357143,0.235922,-209.09,0,1,11,2025,pdh_sweep_reject_short_controlled_h8_cool0,pdh_sweep_reject_short_controlled,8,0
22,46.09,2.095,1.085,0.590909,1.347377,-85.58,1,1,6,2026,pdh_sweep_reject_short_controlled_h8_cool0,pdh_sweep_reject_short_controlled,8,0
22,2.66,0.120909,0.895,0.545455,1.059441,-20.17,1,1,7,2022,pdh_sweep_reject_short_controlled_h8_cool4,pdh_sweep_reject_short_controlled,8,4
25,11.54,0.4616,-0.77,0.48,1.185471,-22.2,1,1,11,2023,pdh_sweep_reject_short_controlled_h8_cool4,pdh_sweep_reject_short_controlled,8,4
35,7.14,0.204,0.0,0.485714,1.087855,-23.52,1,1,11,2024,pdh_sweep_reject_short_controlled_h8_cool4,pdh_sweep_reject_short_controlled,8,4
40,-201.32,-5.033,-2.495,0.35,0.241247,-201.32,0,1,11,2025,pdh_sweep_reject_short_controlled_h8_cool4,pdh_sweep_reject_short_controlled,8,4
21,51.79,2.46619,1.12,0.619048,1.40786,-85.58,1,1,6,2026,pdh_sweep_reject_short_controlled_h8_cool4,pdh_sweep_reject_short_controlled,8,4
21,-1.68,-0.08,-1.03,0.47619,0.970202,-19.94,0,1,7,2022,pdh_sweep_reject_short_controlled_h16_cool0,pdh_sweep_reject_short_controlled,16,0
24,62.68,2.611667,1.4,0.541667,2.11056,-17.73,1,1,11,2023,pdh_sweep_reject_short_controlled_h16_cool0,pdh_sweep_reject_short_controlled,16,0
34,1.79,0.052647,-0.95,0.470588,1.01249,-61.03,1,1,11,2024,pdh_sweep_reject_short_controlled_h16_cool0,pdh_sweep_reject_short_controlled,16,0
36,-223.31,-6.203056,-4.91,0.333333,0.329641,-223.31,0,1,11,2025,pdh_sweep_reject_short_controlled_h16_cool0,pdh_sweep_reject_short_controlled,16,0
20,58.3,2.915,0.755,0.55,1.403098,-100.52,1,1,6,2026,pdh_sweep_reject_short_controlled_h16_cool0,pdh_sweep_reject_short_controlled,16,0
21,3.49,0.16619,-1.03,0.47619,1.061901,-19.94,1,1,7,2022,pdh_sweep_reject_short_controlled_h16_cool4,pdh_sweep_reject_short_controlled,16,4
24,62.68,2.611667,1.4,0.541667,2.11056,-17.73,1,1,11,2023,pdh_sweep_reject_short_controlled_h16_cool4,pdh_sweep_reject_short_controlled,16,4
34,-13.17,-0.387353,-0.95,0.470588,0.916793,-75.99,0,1,11,2024,pdh_sweep_reject_short_controlled_h16_cool4,pdh_sweep_reject_short_controlled,16,4
36,-223.31,-6.203056,-4.91,0.333333,0.329641,-223.31,0,1,11,2025,pdh_sweep_reject_short_controlled_h16_cool4,pdh_sweep_reject_short_controlled,16,4
18,108.04,6.002222,0.755,0.555556,2.220102,-44.44,1,1,6,2026,pdh_sweep_reject_short_controlled_h16_cool4,pdh_sweep_reject_short_controlled,16,4
18,70.63,3.923889,1.69,0.611111,3.852585,-9.11,1,1,7,2022,pdh_sweep_reject_short_controlled_h32_cool0,pdh_sweep_reject_short_controlled,32,0
22,59.79,2.717727,3.39,0.545455,1.796032,-22.54,1,1,11,2023,pdh_sweep_reject_short_controlled_h32_cool0,pdh_sweep_reject_short_controlled,32,0
30,20.69,0.689667,-0.36,0.466667,1.13332,-54.74,1,1,11,2024,pdh_sweep_reject_short_controlled_h32_cool0,pdh_sweep_reject_short_controlled,32,0
34,-240.54,-7.074706,-2.695,0.441176,0.43425,-247.5,0,1,11,2025,pdh_sweep_reject_short_controlled_h32_cool0,pdh_sweep_reject_short_controlled,32,0
16,59.36,3.71,15.465,0.625,1.268975,-125.25,1,1,6,2026,pdh_sweep_reject_short_controlled_h32_cool0,pdh_sweep_reject_short_controlled,32,0
18,70.63,3.923889,1.69,0.611111,3.852585,-9.11,1,1,7,2022,pdh_sweep_reject_short_controlled_h32_cool4,pdh_sweep_reject_short_controlled,32,4
22,59.79,2.717727,3.39,0.545455,1.796032,-22.54,1,1,11,2023,pdh_sweep_reject_short_controlled_h32_cool4,pdh_sweep_reject_short_controlled,32,4
30,20.69,0.689667,-0.36,0.466667,1.13332,-54.74,1,1,11,2024,pdh_sweep_reject_short_controlled_h32_cool4,pdh_sweep_reject_short_controlled,32,4
34,-240.54,-7.074706,-2.695,0.441176,0.43425,-247.5,0,1,11,2025,pdh_sweep_reject_short_controlled_h32_cool4,pdh_sweep_reject_short_controlled,32,4
16,59.36,3.71,15.465,0.625,1.268975,-125.25,1,1,6,2026,pdh_sweep_reject_short_controlled_h32_cool4,pdh_sweep_reject_short_controlled,32,4
