family,name,london_move_atr_min,eff_min,pullback_atr_max,ny_confirm_atr_min,entry_hour,horizon_min,tp_atr,sl_atr,stage,events,pf_x1,pf_x4,total_x1,total_x4,median_x1,win_rate_x1,test20_pf_x1,pf_2026_x1,boot_pf_p05_x1,first_entry,last_entry,proxy_rank_score
london_oneway_continuation,london_oneway_cont_mv0.9_eff0.6_pb0.3_conf0.15_h90_e15_tp0.4_sl0.5,0.9,0.6,0.3,0.15,15,90,0.4,0.5,proxy_m15,139,0.7104,0.3857,-87.5631,-233.5131,-1.655,0.482,0.832,0.6775,0.4838,2022-05-02 15:15:00,2026-05-26 15:15:00,3.99105
london_oneway_continuation,london_oneway_cont_mv0.9_eff0.6_pb0.1_conf0.15_h180_e15_tp0.4_sl0.5,0.9,0.6,0.1,0.15,15,180,0.4,0.5,proxy_m15,139,0.702,0.3821,-91.1852,-237.1352,-1.655,0.482,0.832,0.6775,0.475,2022-05-02 15:15:00,2026-05-26 15:15:00,3.96185
london_oneway_continuation,london_oneway_cont_mv0.9_eff0.6_pb0.3_conf0.15_h180_e15_tp0.4_sl0.5,0.9,0.6,0.3,0.15,15,180,0.4,0.5,proxy_m15,139,0.702,0.3821,-91.1852,-237.1352,-1.655,0.482,0.832,0.6775,0.475,2022-05-02 15:15:00,2026-05-26 15:15:00,3.96185
london_oneway_continuation,london_oneway_cont_mv0.9_eff0.6_pb0.1_conf0.0_h90_e15_tp0.4_sl0.5,0.9,0.6,0.1,0.0,15,90,0.4,0.5,proxy_m15,186,0.6708,0.3593,-138.094,-333.394,-0.5112,0.5,0.7767,0.4881,0.4763,2022-05-02 15:15:00,2026-05-26 15:15:00,3.9539
london_oneway_continuation,london_oneway_cont_mv0.9_eff0.6_pb0.1_conf0.0_h180_e15_tp0.4_sl0.5,0.9,0.6,0.1,0.0,15,180,0.4,0.5,proxy_m15,186,0.6651,0.3568,-141.7161,-337.0161,-0.5112,0.5,0.7767,0.4881,0.4763,2022-05-02 15:15:00,2026-05-26 15:15:00,3.94
london_oneway_continuation,london_oneway_cont_mv0.9_eff0.72_pb0.1_conf0.15_h90_e15_tp0.4_sl0.5,0.9,0.72,0.1,0.15,15,90,0.4,0.5,proxy_m15,79,0.7913,0.4431,-35.3716,-118.3216,-1.5061,0.4937,0.8693,0.4702,0.4422,2022-05-09 15:15:00,2026-05-04 15:15:00,3.83095
london_oneway_continuation,london_oneway_cont_mv0.9_eff0.72_pb0.1_conf0.15_h180_e15_tp0.4_sl0.5,0.9,0.72,0.1,0.15,15,180,0.4,0.5,proxy_m15,79,0.7913,0.4431,-35.3716,-118.3216,-1.5061,0.4937,0.8693,0.4702,0.4422,2022-05-09 15:15:00,2026-05-04 15:15:00,3.83095
london_oneway_continuation,london_oneway_cont_mv0.9_eff0.72_pb0.3_conf0.15_h90_e15_tp0.4_sl0.5,0.9,0.72,0.3,0.15,15,90,0.4,0.5,proxy_m15,79,0.7913,0.4431,-35.3716,-118.3216,-1.5061,0.4937,0.8693,0.4702,0.4422,2022-05-09 15:15:00,2026-05-04 15:15:00,3.83095
london_oneway_continuation,london_oneway_cont_mv0.9_eff0.72_pb0.1_conf0.0_h90_e15_tp0.4_sl0.5,0.9,0.72,0.1,0.0,15,90,0.4,0.5,proxy_m15,108,0.7,0.3877,-74.9806,-188.3806,0.5779,0.5093,0.7604,0.345,0.5189,2022-05-09 15:15:00,2026-05-15 15:15:00,3.742
london_oneway_continuation,london_oneway_cont_mv0.9_eff0.72_pb0.1_conf0.0_h180_e15_tp0.4_sl0.5,0.9,0.72,0.1,0.0,15,180,0.4,0.5,proxy_m15,108,0.7,0.3877,-74.9806,-188.3806,0.5779,0.5093,0.7604,0.345,0.5189,2022-05-09 15:15:00,2026-05-15 15:15:00,3.742
london_oneway_continuation,london_oneway_cont_mv0.9_eff0.72_pb0.3_conf0.0_h90_e15_tp0.4_sl0.5,0.9,0.72,0.3,0.0,15,90,0.4,0.5,proxy_m15,126,0.686,0.371,-89.816,-222.116,0.6744,0.5159,0.6475,0.2926,0.5441,2022-05-09 15:15:00,2026-05-29 15:15:00,3.7221
london_oneway_continuation,london_oneway_cont_mv0.9_eff0.72_pb0.3_conf0.0_h180_e15_tp0.4_sl0.5,0.9,0.72,0.3,0.0,15,180,0.4,0.5,proxy_m15,126,0.686,0.371,-89.816,-222.116,0.6744,0.5159,0.6475,0.2926,0.5441,2022-05-09 15:15:00,2026-05-29 15:15:00,3.7221
