ts_utc,family,candidate,side,horizon_h,entry_close,raw_return_bps,cost_return_bps,slip16_return_bps,hour_utc,weekday,session_utc,year,quarter,mae_bps,mfe_bps,touch_stop_100bps
2024-05-03 18:00:00+00:00,41B_NY_IMPULSE_EXHAUSTION_REVERSAL,NY_EXHAUST_REV_LONG_L12_M1.0,LONG,48,2293.56,90.078306213921,82.078306213921,66.078306213921,18,Friday,NY_LATE,2024,2024Q2,-8.371265630723324,167.6433143235845,False
2024-05-07 18:00:00+00:00,41B_NY_IMPULSE_EXHAUSTION_REVERSAL,NY_EXHAUST_REV_LONG_L12_M1.0,LONG,48,2314.76,67.60960099535085,59.609600995350846,43.609600995350846,18,Tuesday,NY_LATE,2024,2024Q2,-48.514748829252554,104.02806338454029,False
2024-05-16 19:00:00+00:00,41B_NY_IMPULSE_EXHAUSTION_REVERSAL,NY_EXHAUST_REV_LONG_L12_M1.0,LONG,48,2381.74,180.12041616633167,172.12041616633167,156.12041616633167,19,Thursday,NY_LATE,2024,2024Q2,-33.42094435160647,286.7651380923197,False
2024-05-20 18:00:00+00:00,41B_NY_IMPULSE_EXHAUSTION_REVERSAL,NY_EXHAUST_REV_LONG_L12_M1.0,LONG,48,2424.64,-135.4015441467593,-143.4015441467593,-159.4015441467593,18,Monday,NY_LATE,2024,2024Q2,-175.57245611719563,52.2551801504556,True
2024-05-23 18:00:00+00:00,41B_NY_IMPULSE_EXHAUSTION_REVERSAL,NY_EXHAUST_REV_LONG_L12_M1.0,LONG,48,2345.87,35.93549514679051,27.935495146790508,11.935495146790508,18,Thursday,NY_LATE,2024,2024Q2,-87.81390273118306,53.839300558002904,False
2024-05-29 19:00:00+00:00,41B_NY_IMPULSE_EXHAUSTION_REVERSAL,NY_EXHAUST_REV_LONG_L12_M1.0,LONG,48,2341.75,-38.817123945767975,-46.817123945767975,-62.817123945767975,19,Wednesday,NY_LATE,2024,2024Q2,-82.50240204975002,76.9082950784683,False
2024-06-21 21:00:00+00:00,41B_NY_IMPULSE_EXHAUSTION_REVERSAL,NY_EXHAUST_REV_LONG_L12_M1.0,LONG,48,2321.94,-12.834095626932385,-20.834095626932385,-36.83409562693238,21,Friday,NY_LATE,2024,2024Q2,-28.510641963185314,65.33329887938643,False
2024-06-26 17:00:00+00:00,41B_NY_IMPULSE_EXHAUSTION_REVERSAL,NY_EXHAUST_REV_LONG_L12_M1.0,LONG,48,2297.22,127.24075186529848,119.24075186529848,103.24075186529848,17,Wednesday,NY_LATE,2024,2024Q2,-6.573162344050143,185.04975579178407,False
2024-07-08 19:00:00+00:00,41B_NY_IMPULSE_EXHAUSTION_REVERSAL,NY_EXHAUST_REV_LONG_L12_M1.0,LONG,48,2358.45,82.17261336894933,74.17261336894933,58.17261336894933,19,Monday,NY_LATE,2024,2024Q3,-38.88146876126153,119.31565222921935,False
2024-07-18 20:00:00+00:00,41B_NY_IMPULSE_EXHAUSTION_REVERSAL,NY_EXHAUST_REV_LONG_L12_M1.0,LONG,48,2456.28,-258.48030354845616,-266.48030354845616,-282.48030354845616,20,Thursday,NY_LATE,2024,2024Q3,-295.4467731691834,0.651391535166912,True
