stage,decision_scope,promotion,candidate,family,side,horizon_hours,lookback_hours,trigger_type,threshold,entry_idx,entry_utc,exit_idx,exit_utc,year,entry_close,exit_close,final_bps,mfe_bps,mae_bps,max_adverse_hour,max_favorable_hour,source_stage39a_residual_bps,source_stage39a_event_clock_n
Stage39B_EVENT_PATH_AND_TRADABILITY_DIAGNOSTIC,RESEARCH_STAGE_ONLY_NO_PROMOTION,NO_GO,RANGE_BOTTOM_REV_LONG_W48_Q0.05,ROLLING_RANGE_REVERSAL,LONG,72,48,range_bottom,0.05,1220,2022-07-11T22:00:00+00:00,1292,2022-07-14T22:00:00+00:00,2022,1732.02,1708.89,-133.54349256936905,76.44253530559641,-199.82448239627692,66,44,8.961150568044353,177
Stage39B_EVENT_PATH_AND_TRADABILITY_DIAGNOSTIC,RESEARCH_STAGE_ONLY_NO_PROMOTION,NO_GO,RANGE_BOTTOM_REV_LONG_W48_Q0.05,ROLLING_RANGE_REVERSAL,LONG,72,48,range_bottom,0.05,1386,2022-07-20T20:00:00+00:00,1458,2022-07-25T20:00:00+00:00,2022,1699.95,1719.11,112.7091973293326,230.4185417218152,-113.00332362716547,18,45,8.961150568044353,177
Stage39B_EVENT_PATH_AND_TRADABILITY_DIAGNOSTIC,RESEARCH_STAGE_ONLY_NO_PROMOTION,NO_GO,RANGE_BOTTOM_REV_LONG_W48_Q0.05,ROLLING_RANGE_REVERSAL,LONG,72,48,range_bottom,0.05,1837,2022-08-16T15:00:00+00:00,1909,2022-08-19T15:00:00+00:00,2022,1771.58,1756.25,-86.5329254112146,59.49491414443564,-123.84425202361604,70,18,8.961150568044353,177
Stage39B_EVENT_PATH_AND_TRADABILITY_DIAGNOSTIC,RESEARCH_STAGE_ONLY_NO_PROMOTION,NO_GO,RANGE_BOTTOM_REV_LONG_W48_Q0.05,ROLLING_RANGE_REVERSAL,LONG,72,48,range_bottom,0.05,1915,2022-08-19T21:00:00+00:00,1987,2022-08-24T21:00:00+00:00,2022,1746.52,1749.53,17.234271580055527,53.07697592927596,-108.27245035842759,18,69,8.961150568044353,177
Stage39B_EVENT_PATH_AND_TRADABILITY_DIAGNOSTIC,RESEARCH_STAGE_ONLY_NO_PROMOTION,NO_GO,RANGE_BOTTOM_REV_LONG_W48_Q0.05,ROLLING_RANGE_REVERSAL,LONG,72,48,range_bottom,0.05,2038,2022-08-29T00:00:00+00:00,2110,2022-09-01T00:00:00+00:00,2022,1734.63,1708.86,-148.56194116324662,61.626975205086865,-155.42219378195998,72,17,8.961150568044353,177
Stage39B_EVENT_PATH_AND_TRADABILITY_DIAGNOSTIC,RESEARCH_STAGE_ONLY_NO_PROMOTION,NO_GO,RANGE_BOTTOM_REV_LONG_W48_Q0.05,ROLLING_RANGE_REVERSAL,LONG,72,48,range_bottom,0.05,2110,2022-09-01T00:00:00+00:00,2182,2022-09-06T00:00:00+00:00,2022,1708.86,1713.73,28.49853118453316,52.31557880692517,-118.38301557763553,17,41,8.961150568044353,177
Stage39B_EVENT_PATH_AND_TRADABILITY_DIAGNOSTIC,RESEARCH_STAGE_ONLY_NO_PROMOTION,NO_GO,RANGE_BOTTOM_REV_LONG_W48_Q0.05,ROLLING_RANGE_REVERSAL,LONG,72,48,range_bottom,0.05,2201,2022-09-06T19:00:00+00:00,2273,2022-09-09T19:00:00+00:00,2022,1701.36,1719.9,108.97164621244349,164.1040109089209,-59.834485352893154,12,63,8.961150568044353,177
Stage39B_EVENT_PATH_AND_TRADABILITY_DIAGNOSTIC,RESEARCH_STAGE_ONLY_NO_PROMOTION,NO_GO,RANGE_BOTTOM_REV_LONG_W48_Q0.05,ROLLING_RANGE_REVERSAL,LONG,72,48,range_bottom,0.05,2317,2022-09-13T15:00:00+00:00,2389,2022-09-16T15:00:00+00:00,2022,1703.64,1660.14,-255.33563428893459,164.29527364936192,-291.78699725294075,68,0,8.961150568044353,177
Stage39B_EVENT_PATH_AND_TRADABILITY_DIAGNOSTIC,RESEARCH_STAGE_ONLY_NO_PROMOTION,NO_GO,RANGE_BOTTOM_REV_LONG_W48_Q0.05,ROLLING_RANGE_REVERSAL,LONG,72,48,range_bottom,0.05,2515,2022-09-23T21:00:00+00:00,2587,2022-09-28T21:00:00+00:00,2022,1640.22,1661.69,130.8970747826521,136.38414359049332,-156.13759129872952,61,71,8.961150568044353,177
Stage39B_EVENT_PATH_AND_TRADABILITY_DIAGNOSTIC,RESEARCH_STAGE_ONLY_NO_PROMOTION,NO_GO,RANGE_BOTTOM_REV_LONG_W48_Q0.05,ROLLING_RANGE_REVERSAL,LONG,72,48,range_bottom,0.05,2763,2022-10-10T05:00:00+00:00,2835,2022-10-13T05:00:00+00:00,2022,1691.49,1669.75,-128.52573766324315,15.78489970381236,-181.20118948382836,32,0,8.961150568044353,177
