trades,total_x4,pf_x4,median_x4,wr,dd_x4,variant,period_type,period,start_utc,end_utc
11,82.68,1.865941,5.88,0.636364,-83.32,short_rally_rejection_h4sma20_slope2_look12_comp6_1.8_rej6_imp1.2_h6_cool1_all,month,2023-06,2023-06-07T12:00:00+00:00,2023-06-29T17:00:00+00:00
7,-35.56,0.608542,-1.0,0.428571,-69.28,short_rally_rejection_h4sma20_slope2_look12_comp6_1.8_rej6_imp1.2_h6_cool1_all,month,2023-07,2023-07-06T05:00:00+00:00,2023-07-31T16:00:00+00:00
14,45.76,1.559413,1.8,0.714286,-34.96,short_rally_rejection_h4sma20_slope2_look12_comp6_1.8_rej6_imp1.2_h6_cool1_all,month,2023-08,2023-08-02T02:00:00+00:00,2023-08-21T05:00:00+00:00
11,124.08,5.203252,5.96,0.727273,-16.24,short_rally_rejection_h4sma20_slope2_look12_comp6_1.8_rej6_imp1.2_h6_cool1_all,month,2023-09,2023-09-07T12:00:00+00:00,2023-09-29T10:00:00+00:00
4,5.52,1.32243,1.76,0.5,-13.16,short_rally_rejection_h4sma20_slope2_look12_comp6_1.8_rej6_imp1.2_h6_cool1_all,month,2023-10,2023-10-03T12:00:00+00:00,2023-10-05T23:00:00+00:00
10,-112.04,0.155562,-2.82,0.3,-127.16,short_rally_rejection_h4sma20_slope2_look12_comp6_1.8_rej6_imp1.2_h6_cool1_all,month,2023-11,2023-11-01T14:00:00+00:00,2023-11-14T11:00:00+00:00
8,11.68,1.125376,3.54,0.75,-73.48,short_rally_rejection_h4sma20_slope2_look12_comp6_1.8_rej6_imp1.2_h6_cool1_all,month,2023-12,2023-12-05T02:00:00+00:00,2023-12-19T10:00:00+00:00
11,-4.28,0.952508,-8.8,0.181818,-72.88,short_rally_rejection_h4sma20_slope2_look12_comp6_1.8_rej6_imp1.2_h6_cool1_all,month,2024-01,2024-01-03T05:00:00+00:00,2024-01-26T04:00:00+00:00
8,-21.88,0.543406,-1.18,0.5,-37.96,short_rally_rejection_h4sma20_slope2_look12_comp6_1.8_rej6_imp1.2_h6_cool1_all,month,2024-02,2024-02-02T21:00:00+00:00,2024-02-15T11:00:00+00:00
6,-151.52,0.18274,-10.26,0.166667,-151.52,short_rally_rejection_h4sma20_slope2_look12_comp6_1.8_rej6_imp1.2_h6_cool1_all,month,2024-03,2024-03-13T13:00:00+00:00,2024-03-20T15:00:00+00:00
4,110.32,5.804878,16.94,0.5,-16.16,short_rally_rejection_h4sma20_slope2_look12_comp6_1.8_rej6_imp1.2_h6_cool1_all,month,2024-04,2024-04-23T02:00:00+00:00,2024-04-25T11:00:00+00:00
