candidate_id,entry_time_utc,exit_time_utc,year,month,direction,entry_price,exit_price,gross_bps,stress_net_bps,entry_spread_cost_bps,h1_range_bps,h1_threshold_bps
S49_MTF_H1W72_P75_M15S20_M5S20_H48,2022-05-05T15:00:00Z,2022-05-05T19:00:00Z,2022,2022-05,SHORT,1883.81,1877.74,32.221933209824435,29.239929476670714,2.6541954868059943,66.11666648993153,35.08961534028398
S49_MTF_H1W72_P75_M15S40_M5S20_H48,2022-05-05T02:00:00Z,2022-05-05T06:00:00Z,2022,2022-05,LONG,1900.67,1899.14,-8.04979296774281,-11.031796700896532,2.6306512966480238,39.41296260241324,34.41870522979025
S49_MTF_H1W72_P75_M15S40_M5S20_H48,2022-05-05T08:00:00Z,2022-05-05T12:00:00Z,2022,2022-05,SHORT,1892.1,1900.05,-42.01680672268932,-44.99881045584304,2.642566460546483,34.724054587481156,33.879271939765204
S49_MTF_H1W72_P75_M15S40_M5S20_H48,2022-05-05T13:00:00Z,2022-05-05T17:00:00Z,2022,2022-05,LONG,1906.65,1878.51,-147.58870269845067,-150.5707064316044,2.622400545459313,65.71494503650233,34.41870522979025
S49_MTF_H1W72_P75_M15S40_M5S20_H48,2022-05-05T14:00:00Z,2022-05-05T18:00:00Z,2022,2022-05,SHORT,1891.81,1873.88,94.77695963125174,91.79495589809802,2.6429715457683383,81.69641443514433,34.62869714643586
S49_MTF_H1W72_P75_M15S40_M5S20_H48,2022-05-05T15:00:00Z,2022-05-05T19:00:00Z,2022,2022-05,SHORT,1883.81,1877.74,32.221933209824435,29.239929476670714,2.6541954868059943,66.11666648993153,35.08961534028398
S49_MTF_H1W72_P75_M15S20_M5S20_H24,2022-05-05T02:00:00Z,2022-05-05T04:00:00Z,2022,2022-05,LONG,1900.67,1901.2,2.7884903744467615,-0.1935133587069604,2.6306512966480238,39.41296260241324,34.41870522979025
S49_MTF_H1W72_P75_M15S20_M5S20_H24,2022-05-05T08:00:00Z,2022-05-05T10:00:00Z,2022,2022-05,SHORT,1892.1,1897.96,-30.970878917605454,-33.95288265075918,2.642566460546483,34.724054587481156,33.879271939765204
S49_MTF_H1W72_P75_M15S20_M5S20_H24,2022-05-05T13:00:00Z,2022-05-05T15:00:00Z,2022,2022-05,LONG,1906.65,1883.81,-119.7912569165822,-122.77326064973592,2.622400545459313,65.71494503650233,34.41870522979025
S49_MTF_H1W72_P75_M15S20_M5S20_H24,2022-05-05T14:00:00Z,2022-05-05T16:00:00Z,2022,2022-05,SHORT,1891.81,1874.22,92.97973898012971,89.99773524697599,2.6429715457683383,81.69641443514433,34.62869714643586
S49_MTF_H1W72_P75_M15S20_M5S20_H24,2022-05-05T15:00:00Z,2022-05-05T17:00:00Z,2022,2022-05,SHORT,1883.81,1878.51,28.1344721601433,25.15246842698958,2.6541954868059943,66.11666648993153,35.08961534028398
S49_MTF_H1W120_P75_M15S40_M5S20_H24,2022-05-09T09:00:00Z,2022-05-09T11:00:00Z,2022,2022-05,SHORT,1866.02,1858.41,40.78198518772521,37.79998145457149,2.6794996838190372,42.40377398949331,35.02723837904509
S49_MTF_H1W120_P75_M15S40_M5S20_H24,2022-05-09T11:00:00Z,2022-05-09T13:00:00Z,2022,2022-05,SHORT,1858.41,1867.03,-46.383736635079934,-49.36574036823366,2.690471962591678,42.59323993654076,35.02723837904509
S49_MTF_H1W120_P75_M15S40_M5S20_H24,2022-05-09T14:00:00Z,2022-05-09T16:00:00Z,2022,2022-05,SHORT,1864.24,1859.9,23.2802643436463,20.29826061049258,2.6820581041067677,54.155306039201776,36.248381625661864
S49_MTF_H1W120_P75_M15S40_M5S20_H24,2022-05-09T15:00:00Z,2022-05-09T17:00:00Z,2022,2022-05,SHORT,1861.57,1861.34,1.2355162577825074,-1.7464874753712145,2.6859049082226294,45.690818295678724,36.460619122989556
S49_MTF_H1W120_P75_M15S40_M5S20_H24,2022-05-09T18:00:00Z,2022-05-09T20:00:00Z,2022,2022-05,SHORT,1857.26,1853.07,22.56011543887261,19.57811170571889,2.6921378805336893,38.36392928536346,36.79513700397965
S49_MTF_H1W72_P75_M15S40_M5S20_H24,2022-05-05T02:00:00Z,2022-05-05T04:00:00Z,2022,2022-05,LONG,1900.67,1901.2,2.7884903744467615,-0.1935133587069604,2.6306512966480238,39.41296260241324,34.41870522979025
S49_MTF_H1W72_P75_M15S40_M5S20_H24,2022-05-05T08:00:00Z,2022-05-05T10:00:00Z,2022,2022-05,SHORT,1892.1,1897.96,-30.970878917605454,-33.95288265075918,2.642566460546483,34.724054587481156,33.879271939765204
S49_MTF_H1W72_P75_M15S40_M5S20_H24,2022-05-05T13:00:00Z,2022-05-05T15:00:00Z,2022,2022-05,LONG,1906.65,1883.81,-119.7912569165822,-122.77326064973592,2.622400545459313,65.71494503650233,34.41870522979025
S49_MTF_H1W72_P75_M15S40_M5S20_H24,2022-05-05T14:00:00Z,2022-05-05T16:00:00Z,2022,2022-05,SHORT,1891.81,1874.22,92.97973898012971,89.99773524697599,2.6429715457683383,81.69641443514433,34.62869714643586
S49_MTF_H1W72_P75_M15S40_M5S20_H24,2022-05-05T15:00:00Z,2022-05-05T17:00:00Z,2022,2022-05,SHORT,1883.81,1878.51,28.1344721601433,25.15246842698958,2.6541954868059943,66.11666648993153,35.08961534028398
S49_MTF_H1W120_P75_M15S20_M5S20_H24,2022-05-09T09:00:00Z,2022-05-09T11:00:00Z,2022,2022-05,SHORT,1866.02,1858.41,40.78198518772521,37.79998145457149,2.6794996838190372,42.40377398949331,35.02723837904509
