candidate_id,entry_time_utc,exit_time_utc,direction,entry_price,exit_price,gross_bps,stress_cost_bps,stress_net_bps,h1_time_utc,h1_range_bps,h1_range_percentile_rank,entry_spread_cost_bps,session_utc,year
S49_MTF_H1W72_P75_M15S20_M5S20_H12,2022-06-01T12:05:00Z,2022-06-01T13:05:00Z,LONG,1831.06,1846.5,84.3227420182848,2.982003733153722,81.34073828513108,2022-06-01T12:00:00Z,85.84784919412529,100.0,2.73065874411543,london_ny_overlap,2022
S49_MTF_H1W72_P75_M15S20_M5S20_H12,2022-06-01T13:05:00Z,2022-06-01T14:05:00Z,LONG,1846.5,1842.1,-23.828865421067373,2.982003733153722,-26.810869154221095,2022-06-01T13:00:00Z,27.369641918367765,79.16666666666667,2.7078256160303273,london_ny_overlap,2022
S49_MTF_H1W72_P75_M15S20_M5S20_H12,2022-06-01T16:05:00Z,2022-06-01T17:05:00Z,LONG,1846.76,1848.82,11.154670883059767,2.982003733153722,8.172667149906045,2022-06-01T16:00:00Z,28.309750895844033,77.77777777777777,2.707444389092248,new_york,2022
S49_MTF_H1W72_P75_M15S20_M5S20_H12,2022-06-02T12:05:00Z,2022-06-02T13:05:00Z,LONG,1855.7,1858.78,16.59751037344359,2.982003733153722,13.615506640289869,2022-06-02T12:00:00Z,42.3943373662714,95.83333333333333,2.694401034649997,london_ny_overlap,2022
S49_MTF_H1W72_P75_M15S20_M5S20_H12,2022-06-02T13:05:00Z,2022-06-02T14:05:00Z,LONG,1858.78,1867.69,47.93466682447671,2.982003733153722,44.95266309132298,2022-06-02T13:00:00Z,57.19559175439083,97.22222222222223,2.68993640990327,london_ny_overlap,2022
S49_MTF_H1W72_P75_M15S20_M5S20_H12,2022-06-02T14:05:00Z,2022-06-02T15:05:00Z,LONG,1867.69,1867.87,0.9637573687273385,2.982003733153722,-2.0182463644263833,2022-06-02T14:00:00Z,32.75682746641166,86.11111111111111,2.67710380202282,london_ny_overlap,2022
S49_MTF_H1W72_P75_M15S20_M5S20_H12,2022-06-06T14:05:00Z,2022-06-06T15:05:00Z,SHORT,1848.5,1845.78,14.714633486610913,2.982003733153722,11.732629753457191,2022-06-06T14:00:00Z,26.78585923084024,79.16666666666667,2.704895861509332,london_ny_overlap,2022
S49_MTF_H1W72_P75_M15S20_M5S20_H12,2022-06-06T15:05:00Z,2022-06-06T16:05:00Z,SHORT,1845.78,1843.12,14.411251611785165,2.982003733153722,11.429247878631443,2022-06-06T15:00:00Z,35.42463449697547,88.88888888888889,2.708881881914421,london_ny_overlap,2022
S49_MTF_H1W72_P75_M15S20_M5S20_H12,2022-06-07T04:05:00Z,2022-06-07T05:05:00Z,LONG,1841.27,1842.27,5.431034014566033,2.982003733153722,2.4490302814123113,2022-06-07T04:00:00Z,24.319013342887327,80.55555555555556,2.7155170072830166,asia,2022
S49_MTF_H1W72_P75_M15S20_M5S20_H12,2022-06-07T07:05:00Z,2022-06-07T08:05:00Z,LONG,1843.83,1844.31,2.6032768747662107,2.982003733153722,-0.3787268583875112,2022-06-07T07:00:00Z,26.168346073663155,81.94444444444444,2.711746744548033,london,2022
