replay_mode,signal_server_time,signal_utc_time,entry_server_time,entry_utc_time,exit_server_time,exit_utc_time,session_utc,entry_price,close_h1,sma10,distance_usd,tp_usd,sl_usd,time_exit_h1_bars,exit_reason,gross_usd,net_usd,ambiguous_exit
overlap_every_signal,2022-07-21 22:00:00,2022-07-21 19:00:00,2022-07-21 23:00:00,2022-07-21 20:00:00,2022-07-22 11:00:00,2022-07-22 08:00:00,new_york,1719.52,1719.53,1706.362,13.168,24.0,15.0,12,time_exit,-3.5,-3.85,False
overlap_every_signal,2022-07-22 16:00:00,2022-07-22 13:00:00,2022-07-22 17:00:00,2022-07-22 14:00:00,2022-07-22 22:58:00,2022-07-22 19:58:00,london_ny_overlap,1734.49,1734.46,1721.722,12.738,24.0,15.0,12,time_exit,-11.08,-11.43,False
overlap_every_signal,2022-07-27 21:00:00,2022-07-27 18:00:00,2022-07-27 22:00:00,2022-07-27 19:00:00,2022-07-28 10:00:00,2022-07-28 07:00:00,new_york,1734.9,1734.62,1720.727,13.893,24.0,15.0,12,time_exit,5.13,4.78,False
overlap_every_signal,2022-07-27 22:00:00,2022-07-27 19:00:00,2022-07-27 23:00:00,2022-07-27 20:00:00,2022-07-28 11:00:00,2022-07-28 08:00:00,new_york,1734.23,1734.36,1721.957,12.403,24.0,15.0,12,time_exit,9.66,9.31,False
overlap_every_signal,2022-07-27 23:00:00,2022-07-27 20:00:00,2022-07-28 01:00:00,2022-07-27 22:00:00,2022-07-28 13:00:00,2022-07-28 10:00:00,new_york,1734.07,1734.1,1723.381,10.719,24.0,15.0,12,time_exit,6.48,6.13,False
overlap_every_signal,2022-07-28 01:00:00,2022-07-27 22:00:00,2022-07-28 02:00:00,2022-07-27 23:00:00,2022-07-28 14:00:00,2022-07-28 11:00:00,other,1735.34,1735.32,1724.864,10.456,24.0,15.0,12,time_exit,4.52,4.17,False
overlap_every_signal,2022-07-28 02:00:00,2022-07-27 23:00:00,2022-07-28 03:00:00,2022-07-28 00:00:00,2022-07-28 15:00:00,2022-07-28 12:00:00,other,1738.55,1738.53,1726.915,11.615,24.0,15.0,12,time_exit,1.84,1.49,False
overlap_every_signal,2022-07-28 17:00:00,2022-07-28 14:00:00,2022-07-28 18:00:00,2022-07-28 15:00:00,2022-07-29 06:00:00,2022-07-29 03:00:00,london_ny_overlap,1755.08,1755.06,1744.146,10.914,24.0,15.0,12,time_exit,0.25,-0.1,False
overlap_every_signal,2022-08-23 17:00:00,2022-08-23 14:00:00,2022-08-23 18:00:00,2022-08-23 15:00:00,2022-08-24 06:00:00,2022-08-24 03:00:00,london_ny_overlap,1749.99,1749.94,1739.887,10.053,24.0,15.0,12,time_exit,-5.61,-5.96,False
overlap_every_signal,2022-08-29 16:00:00,2022-08-29 13:00:00,2022-08-29 17:00:00,2022-08-29 14:00:00,2022-08-30 05:00:00,2022-08-30 02:00:00,london_ny_overlap,1740.44,1740.43,1726.899,13.531,24.0,15.0,12,time_exit,-4.6,-4.95,False
overlap_every_signal,2022-08-29 18:00:00,2022-08-29 15:00:00,2022-08-29 19:00:00,2022-08-29 16:00:00,2022-08-30 07:00:00,2022-08-30 04:00:00,london_ny_overlap,1740.32,1740.32,1730.111,10.209,24.0,15.0,12,time_exit,-5.65,-6.0,False
overlap_every_signal,2022-09-02 17:00:00,2022-09-02 14:00:00,2022-09-02 18:00:00,2022-09-02 15:00:00,2022-09-02 22:58:00,2022-09-02 19:58:00,london_ny_overlap,1717.09,1717.1,1706.765,10.335,24.0,15.0,12,time_exit,-7.21,-7.56,False
overlap_every_signal,2022-09-06 03:00:00,2022-09-06 00:00:00,2022-09-06 04:00:00,2022-09-06 01:00:00,2022-09-06 15:54:00,2022-09-06 12:54:00,asia,1723.74,1723.74,1712.466,11.274,24.0,15.0,12,stop_loss,-15.0,-15.35,False
overlap_every_signal,2022-09-16 17:00:00,2022-09-16 14:00:00,2022-09-16 18:00:00,2022-09-16 15:00:00,2022-09-16 22:58:00,2022-09-16 19:58:00,london_ny_overlap,1676.86,1676.97,1662.976,13.994,24.0,15.0,12,time_exit,-3.62,-3.97,False
overlap_every_signal,2022-09-21 21:00:00,2022-09-21 18:00:00,2022-09-21 22:00:00,2022-09-21 19:00:00,2022-09-21 22:45:00,2022-09-21 19:45:00,new_york,1685.81,1685.75,1672.291,13.459,24.0,15.0,12,stop_loss,-15.0,-15.35,False
